GRPIP,Name
26,"Hunts Point, Longwood & Melrose"
21,Upper East Side
29,"Hunts Point, Longwood & Melrose"
48,Bedford-Stuyvesant
27,"Pelham Parkway, Morris Park & Laconia "
27,"Hunts Point, Longwood & Melrose"
73,"Flushing, Murray Hill & Whitestone"
13,Bensonhurst & Bath Beach
30,Chinatown & Lower East Side
52,"Hunts Point, Longwood & Melrose"
47,"Borough Park, Kensington & Ocean Parkway"
13,Brighton Beach & Coney Island
30,Brighton Beach & Coney Island
8,"Briarwood, Fresh Meadows & Hillcrest"
39,"Belmont, Crotona Park East & East Tremont"
30,Brighton Beach & Coney Island
15,Sunnyside & Woodside
29,"Morris Heights, Fordham South & Mount Hope"
12,"Chelsea, Clinton & Midtown Business District"
45,Crown Heights North & Prospect Heights
51,Howard Beach & Ozone Park
18,Brooklyn Heights & Fort Greene
7,Brooklyn Heights & Fort Greene
32,"Hunts Point, Longwood & Melrose"
63,"Park Slope, Carroll Gardens & Red Hook"
28,Chinatown & Lower East Side
12,"Ridgewood, Glendale & Middle Village"
15,Astoria & Long Island City
25,Sunnyside & Woodside
65,Central Harlem
49,"Bedford Park, Fordham North & Norwood "
75,"Sheepshead Bay, Gerritsen Beach & Homecrest"
23,Sunset Park & Windsor Terrace
14,"Park Slope, Carroll Gardens & Red Hook"
48,"Belmont, Crotona Park East & East Tremont"
27,"Sheepshead Bay, Gerritsen Beach & Homecrest"
92,Sunnyside & Woodside
34,Upper West Side & West Side
45,Jackson Heights & North Corona
24,"Port Richmond, Stapleton & Mariner's Harbor"
37,"Flushing, Murray Hill & Whitestone"
